"name"	"longitude"	"latitude"	"subspecies"	"medius"	"bellii"	"arizonae"	"pusillus"	"numSubsppGroups"	"assigned"
"Vireo bellii pusillus Coues, 1866"	-116.95	32.79	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-95.48	35.53	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-89.1	42.45	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-89.38	37.91	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-118.47	34.17	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-93.27	44.79	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-86	40.07	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-98	38.68	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-97.55	37.5	"unknown"	0	0	0	0	0	"none"
"Vireo bellii pusillus Coues, 1866"	-118.74	34.49	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-93.04	42.1	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-93.45	44.76	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-93.09	44.7	"unknown"	0	0	0	0	0	"none"
"Vireo bellii pusillus Coues, 1866"	-117.13	32.57	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-93.32	43.64	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-96.55	36.25	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-106.32	31.65	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-89.54	36.2	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-118.25	34.08	"unknown"	0	0	0	0	0	"none"
"Vireo bellii pusillus Coues, 1866"	-118.03	34.04	"unknown"	0	0	0	0	0	"none"
"Vireo bellii pusillus Coues, 1866"	-118.19	34.17	"unknown"	0	0	0	0	0	"none"
"Vireo bellii pusillus Coues, 1866"	-118.19	34.04	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-92.23	42.42	"unknown"	0	0	0	0	0	"none"
"Vireo bellii pusillus Coues, 1866"	-117.17	32.54	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-84.43	39.29	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-98.53	33.83	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-100.56	26.55	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-104.47	32.11	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-103.36	42.68	"unknown"	0	0	0	0	0	"none"
"Vireo bellii pusillus Coues, 1866"	-118.08	34.19	"unknown"	0	0	0	0	0	"none"
"Vireo bellii pusillus Coues, 1866"	-118.49	34.13	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-93.47	44.76	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-93.43	41.8	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-100.45	42.91	"unknown"	0	0	0	0	0	"none"
"Vireo bellii pusillus Coues, 1866"	-118.73	34.32	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-100.57	26.55	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-106.9	33.77	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-106.89	33.79	"unknown"	0	0	0	0	0	"none"
"Vireo bellii pusillus Coues, 1866"	-118.82	34.04	"unknown"	0	0	0	0	0	"none"
"Vireo bellii Audubon, 1844"	-100.52	26.55	"unknown"	0	0	0	0	0	"none"
"Vireo bellii pusillus Coues, 1866"	-118.63	34.34	"unknown"	0	0	0	0	0	"none"
