"name"	"longitude"	"latitude"	"subspecies"	"medius"	"bellii"	"arizonae"	"pusillus"	"numSubsppGroups"	"assigned"
"Vireo bellii"	-103.52	29.14	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-102.94	29.19	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-102.95	29.18	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-103.6	29.16	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-101.08	30.16	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-101.12	29.96	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-100.99	29.88	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-101.78	30.47	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-100.41	29.59	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-103.79	30.69	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-101.98	30.21	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-103.94	30.61	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-103.37	29.28	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-101.36	29.7	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-103.24	30.2	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-100.31	29.8	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-100.33	29.83	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-103.47	28.88	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-104.54	29.86	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-103.9	29.1	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-100.5	29.84	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-102.19	31.41	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-103.25	29.25	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-103.15	29.26	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-101.32	29.69	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-100.89	29.35	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-101.85	30.66	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-104.03	29.51	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-103.87	30.6	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-103.51	29.88	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-101.4	29.54	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-101.21	29.34	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-101.18	29.33	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-103.29	30.15	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-102.91	30.2	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-104.33	29.84	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-103.61	29.17	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-100.99	29.89	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-103.67	28.77	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-100.45	29.62	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-100.82	29.37	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-101.8	30.47	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-102.97	29.18	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-103.26	30.17	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-103.5	30.06	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-101.48	30.4	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-101.32	29.68	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-102.38	30.15	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-104.31	29.81	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-103.39	29.45	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-101.55	30.6	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-101.32	29.7	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-103.91	29.1	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-100.95	29.47	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-103.57	30.04	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-104.06	29.49	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-101.82	30.27	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-101.79	30.31	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-103.34	29.27	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-101.56	29.81	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-102.95	29.57	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-101.81	30.47	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-101.81	30.46	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-103.24	30.19	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-100.42	29.3	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-103.87	29.09	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-102.39	30.14	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-104.02	29.88	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-104.1	29.95	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-103.89	30.59	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-103.24	29.13	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-101.83	30.47	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-100.76	29.98	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-101.01	29.37	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-101.13	29.61	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-101.16	29.79	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-101.72	30.44	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-101.01	29.9	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-100.99	29.77	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-101.02	29.55	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-100.71	29.39	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-100.97	29.46	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-100.84	29.72	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-100.98	29.46	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-102.9	28.3	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-102.94	28.43	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-102.95	28.61	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-102.8	29.05	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-100.64	30.58	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-103.3	29.32	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-101.53	30.13	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-102.07	30.86	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-103.8	29.11	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-100.95	29.32	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-103.3	29.28	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-102.94	29.57	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-100.97	29.47	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-102.89	29.21	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-100.95	29.33	"unknown"	1	0	0	0	1	"medius"
"Vireo bellii"	-103.79	30.66	"unknown"	1	0	0	0	1	"medius"
