"name"	"longitude"	"latitude"	"subspecies"	"bangsi"	"bilineata"	"belvederei"	"deserticola"	"grisea"	"numSubsppGroups"	"assigned"
"Amphispiza bilineata"	-98.46	25.91	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-100.61	26.51	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-100.6	26.5	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-98.69	26.46	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-98.43	26	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-100.6	26.49	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-100.47	26.55	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-100.52	26.51	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-100.52	26.63	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-98.46	25.9	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-100.51	26.54	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-98.7	25.95	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-100.54	26.23	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-98.54	26.55	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-98.82	26.49	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-100.52	26.55	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-98.47	25.89	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-98.78	26.2	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-98.77	26.24	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-98.79	25.79	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-98.77	25.65	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-99.12	26.51	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-98.72	26.08	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-99.37	27.31	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-98.14	28	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-100.53	26.59	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-98.83	26.11	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-98.47	25.9	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-98.05	26.53	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-100.52	26.59	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-98.65	26.6	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-98.27	25.59	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-97.81	27.99	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-98.51	26.34	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-100.61	26.52	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-100.6	26.53	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-98.34	25.77	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-99.12	26.52	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-98.37	25.71	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-100.54	26.59	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-100.5	26.52	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-100.51	26.56	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-100.51	26.55	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-98.89	25.53	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-98.69	25.73	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-99.13	26.58	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-98.04	26.39	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-98.07	26.53	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-100.51	26.57	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-100.59	26.5	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-100.58	26.55	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-100.48	26.54	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-100.47	26.63	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-98.79	26.39	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-100.51	26.53	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-98.45	25.61	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-98.75	27.35	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-99.13	26.57	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-100.59	26.48	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-98.53	26.55	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-98.29	27.63	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-100.59	26.54	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-98.45	26.72	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-100.51	26.58	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-100.52	26.62	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-98.53	26.26	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-100.52	26.6	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-98.14	27.96	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-98.13	27.96	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-98.87	27.97	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-98.91	27.18	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-98.76	27.19	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-99.67	26.81	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-99.27	26.9	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-98.53	26.28	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-100.46	26.5	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-99.12	26.56	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-98.39	26.48	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-100.47	26.54	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-97.82	25.71	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-100.38	26.5	"unknown"	1	0	0	0	0	1	"bangsi"
"Amphispiza bilineata"	-98.35	26.39	"unknown"	1	0	0	0	0	1	"bangsi"
