"name"	"longitude"	"latitude"	"subspecies"
"Geococcyx californianus (Lesson, 1829)"	-97.896577	27.520356	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-99.121737	29.985249	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-100.15725	25.863201	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-100.113649	25.902342	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-97.560344	32.934484	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-98.495141	29.4246	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-116.384087	33.754805	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-117.778732	33.646234	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-117.778831	33.646355	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-112.497331	33.566561	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-117.885116	33.652529	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-117.766447	33.780162	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-117.763535	33.784746	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-110.10638	31.372583	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-114.527764	37.611637	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-106.640748	35.194557	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-106.640664	35.194615	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-106.640709	35.194629	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-119.141159	35.35482	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-117.857791	33.651949	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-110.708392	32.236574	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-117.281097	33.173962	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-99.308005	27.1488	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-117.858138	33.59548	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-102.768632	30.176232	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-106.511531	35.141082	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-98.812582	29.871529	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-116.289947	33.772961	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-110.242413	23.458393	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-111.123008	32.293436	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-117.877268	33.647101	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-116.278704	33.635861	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-117.700472	33.924161	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-96.442987	33.039129	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-92.396556	36.31678	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-96.783262	33.73135	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-96.564033	33.083808	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-116.387664	33.239876	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-114.612161	32.727061	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-99.755197	34.118382	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-116.314525	33.211355	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-102.955549	29.182028	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-106.685517	35.188797	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-103.428988	25.60416	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-116.421156	32.980697	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-116.992926	32.725741	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-99.152805	26.589836	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-108.848417	35.069471	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-116.531905	33.810229	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-117.851083	33.587151	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-110.924474	32.42484	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-110.923037	32.424061	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-115.639764	33.151638	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-106.609984	35.08979	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-116.375122	33.257111	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-119.758341	34.461283	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-106.30564	31.64277	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-116.42125	32.980642	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-111.715339	33.252834	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-97.221463	32.662005	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-117.848035	33.663748	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-99.756657	30.474246	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-111.737817	33.362575	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-117.313252	33.647725	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-106.704849	34.935899	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-106.640565	35.194668	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-121.097954	37.08123	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-115.115068	36.062896	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-110.773718	32.175967	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-106.657243	35.119632	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-100.509903	26.563593	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-121.299782	36.804802	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-117.157615	34.02221	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-115.017759	36.10194	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-110.83335	32.23329	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-97.304483	32.680309	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-105.424925	28.303027	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-116.784487	32.995372	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-97.696625	30.275045	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-116.316222	33.18422	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-102.961318	29.18243	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-111.705758	33.604133	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-110.707757	32.236154	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-111.773078	33.293658	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-110.809691	32.320043	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-118.810594	34.222328	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-113.211586	37.19912	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-97.343888	26.222439	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-117.281075	33.17398	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-117.281075	33.17398	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-116.353892	33.773465	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-117.244033	34.469253	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-106.542203	35.132995	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-117.732342	33.543133	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-114.763682	32.498899	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-97.479501	26.017918	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-116.522308	34.09905	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-118.811065	34.226561	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-118.811065	34.226561	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-116.487543	33.945404	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-110.962557	29.081348	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-104.683989	30.08617	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-116.316117	33.184238	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-98.82415	26.487213	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-117.800982	34.078528	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-97.347227	26.226574	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-117.766832	33.80719	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-111.480287	33.45523	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-103.248081	30.119372	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-111.881688	34.576423	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-115.022522	36.10173	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-102.775429	32.26874	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-103.523431	29.138722	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-116.480925	33.833925	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-117.845689	33.65644	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-106.622996	35.085783	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-115.022	36.1007	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-114.612878	32.727426	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-114.611604	32.726468	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-106.794179	32.241545	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-116.352946	33.773814	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-116.532757	33.811399	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-116.352845	33.773675	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-97.740542	27.325582	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-116.8561	32.827739	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-99.072824	19.58302	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-105.976153	35.659078	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-111.965028	33.579023	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-119.532547	34.892145	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-115.108518	36.068938	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-118.790803	34.217647	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-106.57531	35.308303	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-116.39145	33.756145	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-110.983059	32.226622	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-98.981439	23.526499	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-111.212554	33.811341	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-99.080606	28.929927	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-94.123602	36.055101	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-116.660926	31.879371	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-114.428842	32.673622	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-106.481792	35.068668	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-117.584547	33.900762	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-111.767806	33.237041	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-98.380528	26.183669	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-116.362412	34.136147	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-115.001582	36.078133	"unknown"
"Geococcyx californianus (Lesson, 1829)"	-103.300553	29.270217	"unknown"
