"name"	"longitude"	"latitude"	"subspecies"	"affinis"	"sandiegensis"	"numSubsppGroups"	"assigned"
"Campylorhynchus brunneicapillus"	-117.01	32.69	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus"	-116.45	33.02	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus"	-115.3	32.59	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus"	-116.48	33.02	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus"	-116.72	31.73	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus sandiegensis"	-117.08	32.8	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus sandiegensis"	-117	32.73	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus"	-117.01	32.7	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus"	-117	32.69	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus"	-117.08	32.79	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus"	-115.46	32.58	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus"	-116.46	33.01	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus sandiegensis"	-116.89	32.85	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus sandiegensis"	-116.9	32.85	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus"	-116.4	33.03	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus"	-116.89	32.87	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus"	-116.35	32.99	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus"	-116.11	32.72	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus"	-116.11	32.75	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus"	-115.28	32.95	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus sandiegensis"	-116.71	31.74	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus"	-116.66	31.88	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus"	-117.06	32.75	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus"	-117.06	32.67	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus"	-115.56	32.97	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus"	-116.35	33.02	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus"	-116.38	32.91	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus"	-116.17	32.64	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus"	-117.07	32.67	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus"	-116.1	32.68	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus"	-116.11	32.67	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus"	-117.06	32.72	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus"	-115.55	32.98	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus"	-116.21	32.84	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus"	-116.26	31.95	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus"	-116.42	32.97	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus"	-116.9	32.86	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus"	-116.45	33	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus"	-117.05	32.67	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus"	-115.41	32.66	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus"	-116.13	31.87	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus"	-117.13	32.58	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus sandiegensis"	-116.69	31.71	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus"	-115.55	32.97	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus"	-116.98	32.68	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus"	-117.16	32.72	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus"	-117.09	33.03	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus"	-116.22	32.86	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus"	-116.45	33.03	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus"	-116.37	32.93	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus"	-116.26	32.93	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus"	-116.25	32.9	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus"	-116.25	32.94	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus"	-116.36	32.73	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus"	-116.84	33.02	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus couesi"	-116.84	33.02	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus couesi"	-117.14	32.78	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus couesi"	-116.22	32.92	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus couesi"	-117.11	32.73	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus couesi"	-116.36	32.97	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus couesi"	-117.07	32.99	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus"	-115.53	32.98	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus"	-115.6	32.75	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus"	-116.91	32.85	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus"	-116.02	32.89	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus"	-117.13	32.75	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus"	-117.08	32.88	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus"	-115.54	32.96	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus"	-115.54	32.98	"unknown"	0	1	1	"sandiegensis"
"Campylorhynchus brunneicapillus"	-117.14	32.77	"unknown"	0	1	1	"sandiegensis"
