"name"	"longitude"	"latitude"	"subspecies"	"californianus"	"numSubsppGroups"	"assigned"
"Geococcyx velox (Wagner, 1836)"	-89.66	21.04	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-103.29	20.72	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-93.08	16.82	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-96.77	17.06	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-89.84	14.91	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-89.79	14.86	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-86.56	13.43	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-91.4	15.34	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-104.49	21.11	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-93.41	16.8	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-99.01	18.52	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-91.91	15.4	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-99.6	18.52	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-103.68	20.4	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-92.58	16.73	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-92.11	16.14	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-94.85	16.58	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-94.85	16.59	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-94.88	16.58	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-102.38	19.86	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-96.24	17.24	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-96.77	19.36	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-87.5	20.82	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-96.25	17.24	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-93.26	16.81	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-94.87	16.59	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-89.8	21.14	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-87.15	14.26	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-104.88	21.53	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-91.2	15.76	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-87.17	14.27	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-91.12	14.73	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-91.22	14.58	"velox"	1	1	"californianus"
"Geococcyx velox (Wagner, 1836)"	-98.55	17.54	"velox"	1	1	"californianus"
