"name"	"longitude"	"latitude"	"subspecies"	"campoi"	"fusca"	"numSubsppGroups"	"assigned"
"Melozone fusca (Swainson, 1827)"	-99.18	19.38	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.23	19.04	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.03	19.26	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.31	18.93	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.99	19.56	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.2	19.29	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.62	19.35	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99	19.33	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-97.31	18.72	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.88	19.43	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.86	19.36	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.06	19.44	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.89	19.42	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.11	19.53	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.21	19.08	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.21	19.43	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.2	19.43	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.13	19.61	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.09	19.34	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.25	19.62	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.25	19.01	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.85	19.69	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.24	19.33	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.17	19.46	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.09	19.46	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-97.5	19.55	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.44	19.11	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.7	18.89	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.03	19.37	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.1	20.01	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.09	20.01	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.18	19.42	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.24	19.41	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.86	19.41	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.07	19.59	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-99.21	19.47	"unknown"	1	0	1	"campoi"
"Melozone fusca (Swainson, 1827)"	-98.89	19.5	"unknown"	1	0	1	"campoi"
