"name"	"longitude"	"latitude"	"subspecies"	"campoi"	"fusca"	"intermedia"	"mesata"	"mesoleuca"	"perpallida"	"potosina"	"texana"	"numSubsppGroups"	"assigned"
"Melozone fusca (Swainson, 1827)"	-100	19.26	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-99.8	30.45	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-101.69	22.52	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-101.69	22.53	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-102.57	22.19	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-99.53	20.02	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-101.71	22.64	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-112.52	33.59	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-102.45	20.63	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-102.46	20.63	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-108.67	35.52	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-109.79	35.05	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-103.77	22.36	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-106.47	35.13	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-101.11	34.45	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-101.68	34.97	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-100.67	20.08	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-100.69	20.17	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-106.49	35.11	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-99.58	19.25	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-101.09	34.44	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-103.47	29.49	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-112.52	33.61	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-100.4	24.88	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-100.37	24.87	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-112.02	33.83	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-103.54	20.65	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-101.61	19.71	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-104.31	23.94	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-101.23	19.7	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-111.45	33.53	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-101.64	22.74	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-111.56	33.61	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-107.97	32.58	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-101.89	22.67	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-107.98	32.59	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-111.79	34.86	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-104.24	32.55	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-111.79	33.77	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-100.73	20.05	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-104.66	24.2	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-104.65	24.2	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-104.87	24.85	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-101.87	22.67	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-103.43	20.66	"unknown"	0	0	0	0	0	0	0	0	0	"none"
