"name"	"longitude"	"latitude"	"subspecies"	"lepida"	"nitens"	"numSubsppGroups"	"assigned"
"Phainopepla nitens (Swainson, 1838)"	-115.4	36.45	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-117.12	33.52	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-120.28	34.73	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-122.03	38.49	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-116.42	33.61	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-117.75	33.8	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-110.98	32.45	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-110.69	32.06	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-121.21	37.05	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-112.04	33.78	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-111.8	33.69	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-121.22	37.04	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-117.85	33.66	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-120.65	35.49	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-117	32.68	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-112.06	26.99	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-121.74	37.38	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-112.75	32.24	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-116.32	33.21	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-116.55	33.76	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-115.11	36.06	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-116.17	32.75	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-117.3	34.45	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-110.97	31.85	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-122.16	37.93	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-111.01	32.18	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-116.43	33.25	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-119.28	34.35	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-112.77	32.09	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-110.95	32.42	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-111.48	33.34	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-114.75	32.52	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-115.02	36.1	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-116.92	32.78	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-116.31	34.1	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-110.73	32.28	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-111.58	33.56	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-117.8	34.09	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-121.28	38.63	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-111.46	33.5	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-121.87	37.96	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-116.04	34.13	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-110.83	32.23	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-118.41	33.96	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-118.26	34.1	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-117.03	32.84	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-111.8	33.75	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-117.05	32.79	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-115.93	33.92	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-121.75	37.62	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-115.11	36.07	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-111.67	33.53	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-115.72	33.69	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-115.8	33.69	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-111.79	33.8	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-110.63	32.06	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-116.24	33.52	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-118.91	34.45	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-115.93	33.59	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-115.65	34.82	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-115.79	33.73	"unknown"	1	0	1	"lepida"
"Phainopepla nitens (Swainson, 1838)"	-111.8	33.8	"unknown"	1	0	1	"lepida"
