"name"	"longitude"	"latitude"	"subspecies"	"medius"	"numSubsppGroups"	"assigned"
"Vireo bellii Audubon, 1844"	-100.663862	29.807324	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-116.56892	34.050828	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-100.452733	29.610385	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-110.986075	31.854555	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-110.846308	31.497476	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-116.568975	34.04985	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-116.551452	33.760938	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-103.135895	29.27244	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-97.884189	26.140034	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-108.600091	32.837351	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-99.799125	30.445233	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-110.903744	32.428667	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-110.910115	32.425011	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-110.826769	32.198524	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-110.91583	32.426653	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-103.729784	25.455026	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-110.886922	31.74082	"unknown"	0	0	"none"
"Vireo bellii pusillus Coues, 1866"	-116.914724	32.621752	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-97.117635	32.786858	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-100.500878	31.467199	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-118.473996	34.176684	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-89.005534	37.299562	"unknown"	0	0	"none"
"Vireo bellii pusillus Coues, 1866"	-115.602456	30.8333	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-98.369026	30.737397	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-89.01841	37.312062	"unknown"	0	0	"none"
"Vireo bellii pusillus Coues, 1866"	-117.390421	33.279055	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-97.775861	32.060187	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-100.32412	29.867912	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-110.220763	31.87793	"unknown"	0	0	"none"
"Vireo bellii pusillus Coues, 1866"	-118.85094	34.307645	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-89.570161	36.109138	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-117.917371	33.895617	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-116.572049	34.051281	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-110.805374	31.506117	"unknown"	0	0	"none"
"Vireo bellii pusillus Coues, 1866"	-117.341933	33.224201	"unknown"	0	0	"none"
"Vireo bellii pusillus Coues, 1866"	-117.386639	33.36549	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-104.01923	29.866788	"unknown"	0	0	"none"
"Vireo bellii pusillus Coues, 1866"	-117.246272	33.315464	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-95.837689	35.793288	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-109.130651	31.911097	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-111.160043	33.279243	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-84.513717	39.351754	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-99.430302	27.534355	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-92.430519	38.846328	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-110.91378	32.313313	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-98.128234	30.367041	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-117.917337	33.895769	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-100.523194	26.658349	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-114.019945	37.144853	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-100.523146	26.658338	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-89.487188	36.451843	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-116.451751	32.104457	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-117.857744	33.838056	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-117.857729	33.838099	"unknown"	0	0	"none"
"Vireo bellii pusillus Coues, 1866"	-118.484035	33.913187	"unknown"	0	0	"none"
"Vireo bellii pusillus Coues, 1866"	-118.595243	33.813812	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-98.81686	30.499174	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-89.218252	37.856314	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-98.436566	30.878505	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-99.810708	30.439506	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-88.168479	41.359967	"unknown"	0	0	"none"
"Vireo bellii pusillus Coues, 1866"	-117.160486	32.469485	"unknown"	0	0	"none"
"Vireo bellii pusillus Coues, 1866"	-118.125215	34.001826	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-100.020223	29.690447	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-91.876639	34.889519	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-103.006059	42.822535	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-87.211519	38.981818	"unknown"	0	0	"none"
"Vireo bellii pusillus Coues, 1866"	-118.237392	34.063879	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-115.967567	31.119272	"unknown"	0	0	"none"
"Vireo bellii pusillus Coues, 1866"	-115.967666	31.119078	"unknown"	0	0	"none"
"Vireo bellii arizonae Ridgway, 1903"	-110.760226	31.539036	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-98.442325	30.88164	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-99.804217	30.445786	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-92.450485	38.8636	"unknown"	0	0	"none"
"Vireo bellii arizonae Ridgway, 1903"	-111.042049	31.611609	"unknown"	0	0	"none"
"Vireo bellii arizonae Ridgway, 1903"	-111.041394	31.611018	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-97.853544	31.830469	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-92.768825	41.121402	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-106.89668	33.781528	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-98.600335	30.767292	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-89.811428	35.12999	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-89.219864	37.85749	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-100.574274	30.252872	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-100.546409	26.588807	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-87.167348	38.988941	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-92.960384	44.795531	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-90.704557	38.703271	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-110.710151	32.335003	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-109.141449	31.913703	"unknown"	0	0	"none"
"Vireo bellii pusillus Coues, 1866"	-118.070768	33.735772	"unknown"	0	0	"none"
"Vireo bellii pusillus Coues, 1866"	-118.126343	33.619259	"unknown"	0	0	"none"
"Vireo bellii pusillus Coues, 1866"	-117.925683	33.77512	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-110.004714	27.445186	"unknown"	0	0	"none"
"Vireo bellii pusillus Coues, 1866"	-118.241798	34.180916	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-96.568686	38.463131	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-117.938169	33.663398	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-96.576482	38.460212	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-95.871019	38.500447	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-117.847065	36.699674	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-110.184318	31.451244	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-92.960075	44.794085	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-84.480507	39.344114	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-87.0101	37.2228	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-89.812745	35.132156	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-112.801622	32.024018	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-105.502377	28.258765	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-93.448853	44.769378	"unknown"	0	0	"none"
"Vireo bellii pusillus Coues, 1866"	-118.178015	34.084914	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-100.303633	29.952824	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-118.474378	34.177352	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-92.960438	44.794523	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-117.08462	32.867323	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-99.810638	30.439531	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-116.976766	32.670717	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-110.745328	29.205725	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-88.193436	41.850395	"unknown"	0	0	"none"
"Vireo bellii pusillus Coues, 1866"	-118.275808	34.173476	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-98.606603	31.264808	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-103.446141	29.52499	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-115.965134	31.12135	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-96.886961	33.305927	"unknown"	0	0	"none"
"Vireo bellii pusillus Coues, 1866"	-117.201101	33.224901	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-98.884845	30.270378	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-98.358072	39.512387	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-102.955108	29.178933	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-117.845802	33.656341	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-88.624808	39.999888	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-88.624344	39.999219	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-88.624132	39.99892	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-103.70432	25.464998	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-116.56909	34.050685	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-116.568235	34.050318	"unknown"	0	0	"none"
"Vireo bellii pusillus Coues, 1866"	-116.813446	32.789013	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-93.057393	44.393945	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-116.13632	31.400378	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-97.894668	30.336191	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-92.43517	38.858729	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-98.818533	30.497286	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-98.811864	30.507318	"unknown"	0	0	"none"
"Vireo bellii pusillus Coues, 1866"	-116.945255	32.786077	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-118.474189	34.176961	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-100.118686	30.479584	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-117.762586	33.784702	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-95.483426	35.53069	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-89.104571	42.453955	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-89.382384	37.910065	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-93.737837	41.521395	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-118.472614	34.173571	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-118.47286	34.17424	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-94.142873	38.465938	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-98.607606	31.264598	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-117.713418	33.552861	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-93.273655	44.792981	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-86.003327	40.071305	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-97.995394	38.676225	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-96.576564	39.090438	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-94.571137	37.52189	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-94.577395	37.51436	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-97.546389	37.504016	"unknown"	0	0	"none"
"Vireo bellii pusillus Coues, 1866"	-118.738269	34.49498	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-93.035713	42.100109	"unknown"	0	0	"none"
"Vireo bellii pusillus Coues, 1866"	-117.925729	33.633202	"unknown"	0	0	"none"
"Vireo bellii pusillus Coues, 1866"	-117.852318	33.602519	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-93.44973	44.76376	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-93.088111	44.700977	"unknown"	0	0	"none"
"Vireo bellii pusillus Coues, 1866"	-117.12902	32.572633	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-93.317981	43.640339	"unknown"	0	0	"none"
"Vireo bellii pusillus Coues, 1866"	-117.245728	33.30015	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-98.618438	31.273179	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-96.5499	36.2506	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-106.315681	31.646259	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-98.601125	30.766722	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-118.237261	34.100581	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-89.536854	36.198379	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-110.904695	32.461055	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-118.245406	34.080918	"unknown"	0	0	"none"
"Vireo bellii pusillus Coues, 1866"	-118.033716	34.036739	"unknown"	0	0	"none"
"Vireo bellii pusillus Coues, 1866"	-118.189885	34.171684	"unknown"	0	0	"none"
"Vireo bellii pusillus Coues, 1866"	-118.19425	34.042343	"unknown"	0	0	"none"
"Vireo bellii Audubon, 1844"	-92.226632	42.418771	"unknown"	0	0	"none"
"Vireo bellii pusillus Coues, 1866"	-117.165066	32.535462	"unknown"	0	0	"none"
