"name"	"longitude"	"latitude"	"subspecies"	"adusta"	"kenaiensis"	"numSubsppGroups"	"assigned"
"Melospiza melodia (A.Wilson, 1810)"	-121.89	37.24	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.22	37.86	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-121.85	36.53	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.4	37.27	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.46	37.79	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.5	37.5	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-120.78	37.05	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-120.8	37.18	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-121.8	36.84	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.49	37.51	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-120.61	37.17	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-121.8	36.89	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-121.78	37.19	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-123.38	38.57	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.41	37.26	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.04	37.92	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.09	37.45	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.03	37.91	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia gouldii S.F.Baird, 1858"	-122.28	38.18	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.1	38.03	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.07	36.95	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.45	37.81	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.19	38.07	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-121.89	36.54	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.23	37.42	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.16	37.65	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.32	37.87	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-121.81	37.28	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.47	37.49	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-119.77	38.96	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-121.98	37.17	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-121.28	38.84	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.5	37.53	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.48	38.13	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.48	37.8	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-121.91	36.97	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-121.62	38.55	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-121.62	38.54	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.23	37.84	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.41	37.94	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.42	37.73	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.11	37.44	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.04	38.51	"unknown"	0	1	1	"kenaiensis"
"Melospiza melodia (A.Wilson, 1810)"	-122.94	38.12	"unknown"	0	1	1	"kenaiensis"
