"name"	"longitude"	"latitude"	"subspecies"	"coloradense"	"crissale"	"numSubsppGroups"	"assigned"
"Toxostoma crissale Henry, 1858"	-109.68	32.04	"unknown"	0	1	1	"crissale"
"Toxostoma crissale Henry, 1858"	-110.99	31.41	"unknown"	0	1	1	"crissale"
"Toxostoma crissale Henry, 1858"	-110.11	31.44	"unknown"	0	1	1	"crissale"
"Toxostoma crissale Henry, 1858"	-111.33	31.82	"unknown"	0	1	1	"crissale"
"Toxostoma crissale Henry, 1858"	-110.01	32.27	"unknown"	0	1	1	"crissale"
"Toxostoma crissale Henry, 1858"	-110.29	32.15	"unknown"	0	1	1	"crissale"
"Toxostoma crissale Henry, 1858"	-110.73	32.61	"unknown"	0	1	1	"crissale"
"Toxostoma crissale Henry, 1858"	-109.69	32.06	"unknown"	0	1	1	"crissale"
"Toxostoma crissale Henry, 1858"	-111.05	32.38	"unknown"	0	1	1	"crissale"
"Toxostoma crissale Henry, 1858"	-110.26	31.34	"unknown"	0	1	1	"crissale"
"Toxostoma crissale Henry, 1858"	-110.9	31.74	"unknown"	0	1	1	"crissale"
"Toxostoma crissale Henry, 1858"	-110.91	32.42	"unknown"	0	1	1	"crissale"
"Toxostoma crissale Henry, 1858"	-110.95	31.72	"unknown"	0	1	1	"crissale"
"Toxostoma crissale Henry, 1858"	-110	31.57	"unknown"	0	1	1	"crissale"
"Toxostoma crissale Henry, 1858"	-110.72	32.34	"unknown"	0	1	1	"crissale"
"Toxostoma crissale Henry, 1858"	-110.14	31.55	"unknown"	0	1	1	"crissale"
"Toxostoma crissale Henry, 1858"	-110.74	32.34	"unknown"	0	1	1	"crissale"
"Toxostoma crissale Henry, 1858"	-110.75	32.36	"unknown"	0	1	1	"crissale"
"Toxostoma crissale Henry, 1858"	-110.73	32.34	"unknown"	0	1	1	"crissale"
"Toxostoma crissale Henry, 1858"	-110.88	31.47	"unknown"	0	1	1	"crissale"
"Toxostoma crissale Henry, 1858"	-110.31	31.59	"unknown"	0	1	1	"crissale"
"Toxostoma crissale Henry, 1858"	-110.29	31.35	"unknown"	0	1	1	"crissale"
"Toxostoma crissale Henry, 1858"	-110.4	31.83	"unknown"	0	1	1	"crissale"
"Toxostoma crissale Henry, 1858"	-110.41	31.82	"unknown"	0	1	1	"crissale"
"Toxostoma crissale Henry, 1858"	-109.82	32.27	"unknown"	0	1	1	"crissale"
"Toxostoma crissale Henry, 1858"	-110.79	32.33	"unknown"	0	1	1	"crissale"
"Toxostoma crissale Henry, 1858"	-109.72	31.56	"unknown"	0	1	1	"crissale"
"Toxostoma crissale Henry, 1858"	-110.88	31.73	"unknown"	0	1	1	"crissale"
"Toxostoma crissale Henry, 1858"	-110.82	32.32	"unknown"	0	1	1	"crissale"
"Toxostoma crissale Henry, 1858"	-111.74	32.5	"unknown"	0	1	1	"crissale"
"Toxostoma crissale Henry, 1858"	-110.23	31.43	"unknown"	0	1	1	"crissale"
"Toxostoma crissale Henry, 1858"	-109.7	31.46	"unknown"	0	1	1	"crissale"
"Toxostoma crissale Henry, 1858"	-109.7	32.72	"unknown"	0	1	1	"crissale"
"Toxostoma crissale Henry, 1858"	-111.32	31.82	"unknown"	0	1	1	"crissale"
"Toxostoma crissale Henry, 1858"	-109.76	32.05	"unknown"	0	1	1	"crissale"
