"name"	"longitude"	"latitude"	"subspecies"	"celsum"	"maculatum"	"oberholseri"	"numSubsppGroups"	"assigned"
"Toxostoma curvirostre maculatum"	-110.58	28.62	"unknown"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum"	-109.72	28.58	"unknown"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum"	-109.97	27.48	"unknown"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum"	-109.4	27.15	"unknown"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum"	-110.87	27.92	"unknown"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum"	-110	27.08	"unknown"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum"	-109.3	26.95	"unknown"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum"	-108.7	26.97	"unknown"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum"	-110.85	27.97	"unknown"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum"	-109.25	26.35	"unknown"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum"	-109.93	27.12	"unknown"	0	1	0	1	"maculatum"
"Toxostoma curvirostre palmeri"	-110.89	27.98	"unknown"	0	1	0	1	"maculatum"
"Toxostoma curvirostre palmeri"	-109.95	27.5	"unknown"	0	1	0	1	"maculatum"
"Toxostoma curvirostre"	-108.05	27.3	"unknown"	0	1	0	1	"maculatum"
"Toxostoma curvirostre"	-108.7	26.97	"unknown"	0	1	0	1	"maculatum"
"Toxostoma curvirostre"	-108.58	26.95	"unknown"	0	1	0	1	"maculatum"
"Toxostoma curvirostre"	-109.29	25.97	"unknown"	0	1	0	1	"maculatum"
"Toxostoma curvirostre"	-108.62	27.02	"unknown"	0	1	0	1	"maculatum"
"Toxostoma curvirostre"	-109.92	27.09	"unknown"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum"	-108.69	26.9	"unknown"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum"	-108.63	27.15	"unknown"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum"	-108.79	27.02	"unknown"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum"	-109.62	28.62	"unknown"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum"	-108.77	27.98	"unknown"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum"	-108.97	27.02	"unknown"	0	1	0	1	"maculatum"
"Toxostoma curvirostre"	-109.85	27.59	"unknown"	0	1	0	1	"maculatum"
"Toxostoma curvirostre"	-109.52	27.21	"unknown"	0	1	0	1	"maculatum"
"Toxostoma curvirostre"	-109.94	27.5	"unknown"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum (Nelson, 1900)"	-108.94	27.01	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum (Nelson, 1900)"	-108.76	26.54	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum (Nelson, 1900)"	-108.91	27.01	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum (Nelson, 1900)"	-109.4	27.16	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum (Nelson, 1900)"	-108.91	26.91	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum (Nelson, 1900)"	-109.12	28.43	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum (Nelson, 1900)"	-108.98	27.03	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum (Nelson, 1900)"	-109.9	27.71	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum (Nelson, 1900)"	-109.9	27.78	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum (Nelson, 1900)"	-110.98	27.96	"maculatum"	0	1	0	1	"maculatum"
"Toxostoma curvirostre maculatum (Nelson, 1900)"	-109.04	27.06	"maculatum"	0	1	0	1	"maculatum"
