"name"	"longitude"	"latitude"	"subspecies"	"celsum"	"curvirostre"	"numSubsppGroups"	"assigned"
"Toxostoma curvirostre (Swainson, 1827)"	-108.6	32.81	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-110.2	31.85	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-110.25	31.44	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-110.23	31.44	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-110.26	31.52	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-109.84	32.26	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-110.28	31.34	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-110.29	31.98	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-110.27	31.52	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-110.12	31.38	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-109.76	32.7	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-110.27	31.53	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-109.69	32.06	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-109.83	32.26	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-110.25	31.55	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-108.51	32.84	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-110.28	31.49	"unknown"	1	0	1	"celsum"
"Toxostoma curvirostre (Swainson, 1827)"	-110.23	31.39	"unknown"	1	0	1	"celsum"
