"name"	"longitude"	"latitude"	"subspecies"	"amaka"	"atlantica"	"beata"	"numSubsppGroups"	"assigned"
"Melospiza melodia (A.Wilson, 1810)"	-75.75	38.15	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.08	38.61	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.26	39.89	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-76.75	37.2	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-73.97	40.66	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.56	39.77	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-74.02	40.65	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.18	40.31	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-71.45	41.87	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.16	39.79	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-74.53	40.56	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-77.1	38.87	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-74.64	40.34	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-73.92	40.8	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-73.91	40.79	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-73.93	40.79	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.29	38.88	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-77.66	38.79	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-74.64	40.35	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-76.16	36.89	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.55	39.78	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-76.98	38.98	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.28	38.88	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.31	38.95	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-71.3	41.62	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-71.33	41.72	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.35	37.91	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-71.36	41.78	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-76.94	38.91	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-77.35	38.94	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-73.89	41.18	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-76.62	38.83	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-76.5	37.25	"unknown"	0	1	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-74.45	39.47	"unknown"	0	1	0	1	"atlantica"
