"name"	"longitude"	"latitude"	"subspecies"	"amaka"	"atlantica"	"saltonis"	"numSubsppGroups"	"assigned"
"Melospiza melodia (A.Wilson, 1810)"	-111.04	31.61	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia (A.Wilson, 1810)"	-117.05	32.84	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia fallax (S.F.Baird, 1854)"	-111.73	33.36	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia (A.Wilson, 1810)"	-110.17	31.61	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia fallax (S.F.Baird, 1854)"	-110.76	31.54	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia (A.Wilson, 1810)"	-116.87	32.67	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia fallax (S.F.Baird, 1854)"	-111.16	33.28	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia (A.Wilson, 1810)"	-110.99	31.86	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia (A.Wilson, 1810)"	-116.94	32.74	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia (A.Wilson, 1810)"	-116.99	32.73	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia (A.Wilson, 1810)"	-111.02	31.79	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia (A.Wilson, 1810)"	-117.09	33.05	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia (A.Wilson, 1810)"	-117.09	32.95	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia (A.Wilson, 1810)"	-111.14	32.39	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia (A.Wilson, 1810)"	-117.1	33.87	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia (A.Wilson, 1810)"	-117.06	32.55	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia fallax (S.F.Baird, 1854)"	-112.7	33.93	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia fallax (S.F.Baird, 1854)"	-110.83	31.5	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia (A.Wilson, 1810)"	-116.66	33.99	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia (A.Wilson, 1810)"	-116.95	33.04	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia (A.Wilson, 1810)"	-116.94	33.03	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia (A.Wilson, 1810)"	-117.08	32.55	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-117.04	32.8	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-116.94	34.04	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-117.09	32.84	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-111.73	33.36	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-111.02	32.28	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-111.14	32.39	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-116.92	32.77	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-117.07	33.06	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-117.04	32.84	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-110.85	31.5	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia fallax"	-110.82	32.26	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-117.05	32.84	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-117.02	32.67	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-110.76	31.54	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-112.69	33.93	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-117.1	32.83	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-117	33.1	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-117.09	32.55	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-117.08	32.55	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-116.94	32.73	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-117.1	33.87	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-110.13	31.54	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-117.07	33.07	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-117.04	32.59	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-117.04	32.79	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-117.05	32.79	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-117.09	33.88	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-117.06	32.55	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-116.93	32.65	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-116.99	32.73	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-111.05	31.61	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-117.03	32.84	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-117	33.17	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-117.06	33.08	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-117.01	32.86	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-116.94	32.54	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia fallax"	-110.76	31.54	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-111.03	32.28	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-116.58	32.99	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-111.04	31.61	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-111.04	31.6	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia heermanni"	-117.08	32.55	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-110.89	31.74	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-109.48	32.88	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-111.05	31.57	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-109.72	31.56	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-111.99	33.27	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-117.07	33.08	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-117.07	33.09	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-116.97	32.85	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-117.08	33.06	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-117.07	33.48	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-116.54	33.74	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-117.06	32.8	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-111.04	31.62	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-116.99	33.95	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-117.03	32.86	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-116.95	32.65	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-111.68	33.52	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-111.67	33.52	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-116.88	32.09	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-116.94	32.67	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-110.96	32.87	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-117.09	33.51	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-116.94	34.03	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-112.29	33.38	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-117.07	32.93	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia fallax"	-110.28	31.55	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-112.31	33.38	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-110.92	33.62	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-117.1	32.91	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-116.94	33	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-117.09	33.05	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-117.09	32.56	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-117.1	32.97	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-111.05	31.56	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-111.05	31.59	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-117.06	33.07	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-116.61	31.82	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-117.05	34.05	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-117	33.09	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-117.07	32.81	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-115.71	33.09	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-117	32.73	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-111.04	31.64	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-112.27	33.39	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia fallax"	-111.74	33.36	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-116.54	33.73	"unknown"	0	0	1	1	"saltonis"
"Melospiza melodia"	-116.6	31.89	"unknown"	0	0	1	1	"saltonis"
