"name"	"longitude"	"latitude"	"subspecies"	"amaka"	"atlantica"	"cleonensis"	"numSubsppGroups"	"assigned"
"Melospiza melodia cleonensis McGregor, 1899"	-124.15	41.1	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis McGregor, 1899"	-124.17	40.8	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis McGregor, 1899"	-123.89	40.78	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis McGregor, 1899"	-124.04	40.54	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis McGregor, 1899"	-124.13	41.16	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis McGregor, 1899"	-124.25	41.76	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis McGregor, 1899"	-123.17	42.44	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis McGregor, 1899"	-124.14	41.06	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis McGregor, 1899"	-122.58	42.67	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis McGregor, 1899"	-124.16	40.6	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis McGregor, 1899"	-124.28	42.05	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis McGregor, 1899"	-124.39	42.28	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis McGregor, 1899"	-124.06	41.29	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis McGregor, 1899"	-124.38	42.56	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis McGregor, 1899"	-124.38	42.31	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis McGregor, 1899"	-124.22	40.64	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis McGregor, 1899"	-124.17	40.82	"cleonensis"	0	0	1	1	"cleonensis"
"Melospiza melodia cleonensis McGregor, 1899"	-124.42	42.41	"cleonensis"	0	0	1	1	"cleonensis"
