"name"	"longitude"	"latitude"	"subspecies"	"amaka"	"atlantica"	"inexspectata"	"mailliardi"	"numSubsppGroups"	"assigned"
"Melospiza melodia (A.Wilson, 1810)"	-123.2	49.28	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-122.45	37.8	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-63.55	44.68	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-96.73	32.82	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-96.73	32.83	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-63.31	44.64	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-63.28	44.64	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-76.73	39.88	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-95.33	32.25	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-117.11	32.59	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-95.9	32.86	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-77.84	34.25	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-117.28	32.85	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-105.2	40.04	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-81.54	40.93	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-81.63	40.93	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-122.38	47.7	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-118.48	34.15	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-78.36	37.32	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-70.69	43.07	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-81.52	41.01	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-116.94	32.54	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-75.14	38.3	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-80.71	35.26	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-84.5	34.11	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-97.86	28.04	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-79.89	32.68	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-122.79	45.46	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-75.07	40.33	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-96.98	33.06	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-63.49	44.61	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-91.19	30.46	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-74.01	40.89	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-115.36	36.44	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-97.61	30.46	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-84.75	39.29	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-118.39	33.8	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-80.02	40.61	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-80.02	40.62	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-87.73	34.91	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-98.09	30.22	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-97.16	32.75	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-73.44	41.42	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-118.27	34.12	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-99.78	32.7	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-81.52	41.12	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-63.55	44.67	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-97.36	30.68	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-117.4	34.46	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-86.59	30.4	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-122.07	37.44	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-77.47	36.78	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-71.15	42.41	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-118.27	34.19	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-76.8	39.03	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-73.97	40.67	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-80.02	40.49	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-122.21	37.42	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-96.96	33.06	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-81.12	34.11	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-77.15	38.9	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-77.34	38.93	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-96.97	33.07	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-80.19	36.1	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-98.78	33.65	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-122.58	38.23	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-117.25	32.89	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-121.68	38	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-106.68	35.13	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-118.42	33.97	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-121.78	39.75	"unknown"	0	0	0	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-116.92	32.86	"unknown"	0	0	0	0	0	"none"
