"name"	"longitude"	"latitude"	"subspecies"	"beata"	"juddi"	"merrilli"	"pectoralis"	"numSubsppGroups"	"assigned"
"Melospiza melodia juddi"	-95.16	38.8	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-95.26	38.91	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia"	-99.42	37.88	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia"	-95.56	38.01	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia"	-96.05	37.72	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia"	-96.01	39.78	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia"	-95.26	38.95	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia"	-95.29	38.98	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia"	-95.91	39.03	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia juddi"	-99.29	38.72	"unknown"	0	1	0	0	1	"juddi"
"Melospiza melodia (A.Wilson, 1810)"	-117.45	45.94	"unknown"	0	0	1	0	1	"merrilli"
"Melospiza melodia (A.Wilson, 1810)"	-122.72	47.08	"unknown"	0	0	1	0	1	"merrilli"
"Melospiza melodia (A.Wilson, 1810)"	-122.09	47.76	"unknown"	0	0	1	0	1	"merrilli"
"Melospiza melodia (A.Wilson, 1810)"	-122.23	47.18	"unknown"	0	0	1	0	1	"merrilli"
"Melospiza melodia (A.Wilson, 1810)"	-122.19	47.84	"unknown"	0	0	1	0	1	"merrilli"
"Melospiza melodia (A.Wilson, 1810)"	-122.33	47.79	"unknown"	0	0	1	0	1	"merrilli"
"Melospiza melodia (A.Wilson, 1810)"	-122.31	47.67	"unknown"	0	0	1	0	1	"merrilli"
"Melospiza melodia (A.Wilson, 1810)"	-122.38	47.7	"unknown"	0	0	1	0	1	"merrilli"
"Melospiza melodia (A.Wilson, 1810)"	-122.38	47.71	"unknown"	0	0	1	0	1	"merrilli"
"Melospiza melodia (A.Wilson, 1810)"	-123.54	46.97	"unknown"	0	0	1	0	1	"merrilli"
"Melospiza melodia (A.Wilson, 1810)"	-122.17	47.71	"unknown"	0	0	1	0	1	"merrilli"
"Melospiza melodia (A.Wilson, 1810)"	-117.86	45.2	"unknown"	0	0	1	0	1	"merrilli"
"Melospiza melodia (A.Wilson, 1810)"	-122.37	47.71	"unknown"	0	0	1	0	1	"merrilli"
"Melospiza melodia (A.Wilson, 1810)"	-122.42	47.66	"unknown"	0	0	1	0	1	"merrilli"
"Melospiza melodia (A.Wilson, 1810)"	-122.14	48.01	"unknown"	0	0	1	0	1	"merrilli"
"Melospiza melodia (A.Wilson, 1810)"	-122.33	47.74	"unknown"	0	0	1	0	1	"merrilli"
"Melospiza melodia (A.Wilson, 1810)"	-121.82	49.21	"unknown"	0	0	1	0	1	"merrilli"
