"name"	"longitude"	"latitude"	"subspecies"	"atlantica"	"beata"	"kenaiensis"	"rivularis"	"numSubsppGroups"	"assigned"
"Melospiza melodia (A.Wilson, 1810)"	-74.5	40.5	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-73.65	40.66	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-73.99	40.43	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-73.89	40.89	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-73.52	40.62	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-73.42	40.61	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-74.24	39.98	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-70.89	41.95	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-73.15	40.75	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-73.41	40.67	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-74.26	41.09	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-72.61	41.29	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-73.43	40.85	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.01	40.03	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-74.81	40.49	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-71.53	41.46	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.08	39.99	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-73.14	40.96	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.5	40.54	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-73.96	40.66	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.48	39.91	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-74.94	40.21	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-73.63	40.62	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-73.35	40.88	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-73.83	40.62	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-73.02	40.67	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75	39.28	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-73.16	40.67	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-73.07	40.66	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-73.12	40.65	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-71.03	41.53	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-73.45	41.38	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-73.88	40.64	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-71.43	41.54	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-71.49	41.44	"unknown"	1	0	0	0	1	"atlantica"
"Melospiza melodia (A.Wilson, 1810)"	-75.11	39.95	"unknown"	1	0	0	0	1	"atlantica"
