"name"	"longitude"	"latitude"	"subspecies"	"medius"	"arizonae"	"numSubsppGroups"	"assigned"
"Vireo bellii"	-97.55	37.5	"unknown"	0	0	0	"none"
"Vireo bellii"	-94.58	37.51	"unknown"	0	0	0	"none"
"Vireo bellii"	-94.57	37.52	"unknown"	0	0	0	"none"
"Vireo bellii"	-96.58	39.09	"unknown"	0	0	0	"none"
"Vireo bellii"	-98	38.68	"unknown"	0	0	0	"none"
"Vireo bellii"	-89.15	38	"unknown"	0	0	0	"none"
"Vireo bellii"	-86	40.07	"unknown"	0	0	0	"none"
"Vireo bellii"	-93.86	37.91	"unknown"	0	0	0	"none"
"Vireo bellii"	-94.14	38.47	"unknown"	0	0	0	"none"
"Vireo bellii"	-93.74	41.52	"unknown"	0	0	0	"none"
"Vireo bellii"	-89.38	37.91	"unknown"	0	0	0	"none"
"Vireo bellii"	-89.1	42.45	"unknown"	0	0	0	"none"
"Vireo bellii"	-95.48	35.53	"unknown"	0	0	0	"none"
"Vireo bellii"	-100.41	44.43	"unknown"	0	0	0	"none"
"Vireo bellii"	-92.44	38.86	"unknown"	0	0	0	"none"
"Vireo bellii"	-96.78	40.77	"unknown"	0	0	0	"none"
"Vireo bellii"	-92.96	44.8	"unknown"	0	0	0	"none"
"Vireo bellii"	-87.13	37.63	"unknown"	0	0	0	"none"
"Vireo bellii"	-93.06	44.39	"unknown"	0	0	0	"none"
"Vireo bellii"	-103.73	42.43	"unknown"	0	0	0	"none"
"Vireo bellii"	-87.46	41.05	"unknown"	0	0	0	"none"
"Vireo bellii"	-93.44	41.79	"unknown"	0	0	0	"none"
"Vireo bellii"	-88.62	40	"unknown"	0	0	0	"none"
"Vireo bellii"	-98.36	39.51	"unknown"	0	0	0	"none"
"Vireo bellii"	-88.19	41.85	"unknown"	0	0	0	"none"
"Vireo bellii"	-95.87	38.5	"unknown"	0	0	0	"none"
"Vireo bellii"	-96.58	38.46	"unknown"	0	0	0	"none"
"Vireo bellii"	-102.81	40.84	"unknown"	0	0	0	"none"
"Vireo bellii"	-96.57	38.46	"unknown"	0	0	0	"none"
"Vireo bellii"	-88.31	41.92	"unknown"	0	0	0	"none"
"Vireo bellii"	-93.45	44.77	"unknown"	0	0	0	"none"
"Vireo bellii"	-89.81	35.13	"unknown"	0	0	0	"none"
"Vireo bellii"	-90.7	38.7	"unknown"	0	0	0	"none"
