"name"	"longitude"	"latitude"	"subspecies"	"acaciarum"	"numSubsppGroups"	"assigned"
"Auriparus flaviceps flaviceps"	-112.9	27.3	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-113.8	28.25	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-111.97	34.59	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-116.61	32.13	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-98.83	26.3	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-110.04	28.9	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-109.23	23.05	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-109.69	23.06	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-116.14	33.64	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-112.12	25.36	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-105.34	35.66	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-110.93	32.22	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-116.55	33.83	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-116.2	33.75	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-101.12	27.87	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-110.6	24.97	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-97.5	25.87	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-113.05	27.6	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-115.57	30.05	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-110.9	27.92	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-110.62	29.92	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-105.38	25.92	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-98.49	29.42	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-109.7	23.18	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-109.71	23.08	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-116.8	32.36	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-97.5	25.9	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-97.48	25.93	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-112.72	32.95	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-111.39	33.03	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-108.94	27.02	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-99.25	31.25	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-110.3	24.17	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-109.19	30.38	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-122.5	38.35	"flaviceps"	1	1	"acaciarum"
"Auriparus flaviceps flaviceps"	-110.13	23.78	"flaviceps"	1	1	"acaciarum"
