"name"	"longitude"	"latitude"	"subspecies"	"sinuatus"	"fulvescens"	"numSubsppGroups"	"assigned"
"Cardinalis sinuatus Bonaparte, 1838"	-105.92	32.75	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-110.98	32.45	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-101.4	26.94	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-101.31	29.7	"unknown"	0	0	0	"none"
"Cardinalis sinuatus peninsulae (Ridgway, 1887)"	-109.89	22.9	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.22	31.81	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-102.96	29.18	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-99.07	28.94	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-110.85	31.5	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-110.73	32.2	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.56	31.82	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-98.23	29.57	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-104.28	32.44	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.4	32.04	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-100.51	26.52	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-98.38	26.22	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.51	31.92	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-103.77	22.33	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-98.2	28.03	"unknown"	0	0	0	"none"
"Cardinalis sinuatus peninsulae (Ridgway, 1887)"	-110.31	24.14	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-110.33	31.56	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.51	31.93	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-110.68	32.21	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.34	31.65	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-103.73	30.4	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-98.69	27.28	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-111.12	32.29	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-111.16	32.26	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.07	31.93	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-100.86	25.45	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-110.75	32.21	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-110.99	32.46	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-104.81	31.9	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-103.39	29.45	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-110.69	32.24	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-103.47	29.49	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-110.28	31.55	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-101.85	33.58	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-109.95	31.34	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-100.51	31.46	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-99.44	28.33	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-102.81	31.62	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-110.91	32.43	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-110.93	32.41	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-107.28	24.87	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-110.24	31.39	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-100.54	28.86	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-111.1	28.02	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-99.09	26.48	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-100.75	25.94	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.46	31.85	"unknown"	0	0	0	"none"
