"name"	"longitude"	"latitude"	"subspecies"	"sinuatus"	"peninsulae"	"numSubsppGroups"	"assigned"
"Cardinalis sinuatus Bonaparte, 1838"	-103.92	30.6	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.56	32.37	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-104.27	30.62	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-103.6	30.28	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.89	33.8	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-104.43	32.11	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-104.8	31.91	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-104.56	33.4	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.83	32.28	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-104.84	31.86	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.8	32.23	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-101.47	33.48	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-103.75	30.78	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-101.01	33.49	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-103.65	30.38	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.83	32.31	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-103.92	31.9	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-103.58	29.91	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-103.71	30.99	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-104.38	32.72	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-105.96	32.83	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-104.4	33.45	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-104.36	30.48	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-107.08	32.65	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-107.18	32.68	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.59	32.33	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-103.15	32.45	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.6	32.33	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.73	32.46	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-104.19	30.41	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-104.47	32.1	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-107.19	32.24	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.88	33.86	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-104.35	32.6	"unknown"	0	0	0	"none"
"Cardinalis sinuatus Bonaparte, 1838"	-106.87	33.87	"unknown"	0	0	0	"none"
