"name"	"longitude"	"latitude"	"subspecies"	"affinis"	"cardinalis"	"flammiger"	"floridanus"	"numSubsppGroups"	"assigned"
"Cardinalis cardinalis (Linnaeus, 1758)"	-97.37	32.77	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-101.87	33.56	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-97.71	30.25	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-96.89	33.02	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-98.25	31.63	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-96.58	33.04	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-93.27	45.12	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-73.83	45.54	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-95.62	29.6	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-110.84	31.75	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-68.32	44.44	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-97.5	35.39	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-97.46	35.26	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-98.4	29.49	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-95.6	29.61	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-97.14	32.76	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-110.93	31.89	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-96.75	33.74	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-95.92	32.6	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-97.68	32.76	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-95.13	29.64	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-157.71	21.37	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-63.72	44.77	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-97.16	32.73	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-75.76	45.44	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-73.6	45.51	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-97.76	30.42	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-89.92	30.28	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-89.93	30.28	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-89.62	30.38	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-74.05	45.31	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-96.85	33	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-96.61	30.32	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-96	36.18	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-97.83	27.95	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-97.88	27.87	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-97.35	27.67	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-95.63	29.37	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-80.1	26.81	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-94.25	33.24	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-155.82	20.01	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-95.68	33.34	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-98.02	30.51	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-73.76	45.39	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-97.94	28.23	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-96.72	32.99	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-95.98	41.28	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-84.35	30.46	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-96.22	30.56	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-100.07	29.65	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-80.4	25.61	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-98.44	31.02	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-80.72	32.19	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-98.48	29.46	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-93.32	44.98	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-95.32	30.29	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-88.81	33.46	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-97.81	30.65	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-90.11	32.39	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-95.99	19.06	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-97.12	32.79	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-80.77	25.76	"unknown"	0	0	0	0	0	"none"
"Cardinalis cardinalis (Linnaeus, 1758)"	-80.16	26.31	"unknown"	0	0	0	0	0	"none"
