"name"	"longitude"	"latitude"	"subspecies"	"bangsi"	"opuntia"	"numSubsppGroups"	"assigned"
"Amphispiza bilineata (Cassin, 1850)"	-116.31	34.1	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.93	31.82	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.73	32.28	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.72	32.17	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.72	32.16	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.46	33.49	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.35	33.54	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-112.56	33.48	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.71	33.61	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.54	33.77	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-99.8	30.45	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-112.09	33.74	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.55	33.44	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.69	32.29	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.31	24.27	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-99.07	28.94	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.11	34.12	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-112.16	33.95	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.68	32.23	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-100.53	25.86	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-115.93	33.92	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.34	31.92	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-99.07	28.95	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.2	34.04	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-115.72	33.67	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.75	33.38	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.81	33.72	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.38	24.56	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.15	34.03	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.06	34	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-100.6	26.54	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.55	33.78	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-103.88	30.28	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.4	33.25	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-97.9	30.34	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-106.73	35.13	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-112.78	34.2	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.63	33.85	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-115.68	34.81	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-112.77	32.09	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.56	33.81	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.32	33.64	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-112.15	33.68	"unknown"	0	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-100.12	25.89	"unknown"	0	0	0	"none"
