"name"	"longitude"	"latitude"	"subspecies"	"curtata"	"numSubsppGroups"	"assigned"
"Polioptila melanura Lawrence, 1857"	-114.51	33.69	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-114.5	33.69	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-113.53	31.33	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-109.13	31.92	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-112.06	33.35	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.82	33.75	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-111.09	33.21	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-111.11	33.37	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-110.81	32.32	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-111.15	32.22	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-112.71	32.01	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-100.59	26.49	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-116.2	35.8	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-114.92	36.11	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-109.17	31.93	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-110.99	31.83	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-116.04	33.44	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-114.47	32.83	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-104.02	30.07	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-103.18	25.61	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-112.81	31.96	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.36	36.44	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-100.53	25.49	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-110.87	32.33	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-109.09	31.89	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-102.25	21.81	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-109.13	31.91	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-106.74	32.47	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-100.51	25.78	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.02	36.1	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-111.24	31.4	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-100.52	26.6	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-110.69	32.21	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-110.82	32.32	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-109.82	31.45	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-110.8	32.33	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-113.6	37.08	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-100.6	26.48	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-109.14	31.91	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-109.18	31.93	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-110.74	32.31	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-110.94	32.25	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-103.47	29.49	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-109.46	37.29	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-111.14	32.4	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-111.06	29.04	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-105.62	28.16	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-111.41	33.36	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-99.11	26.53	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-105.43	28.31	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-112.29	33.89	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-112.41	32.79	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-100.22	25.68	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-116.37	33.65	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-111.86	33.65	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-100.54	26.59	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-109.06	31.82	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-111.94	33.43	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-111.88	33.51	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-112.74	32	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-110.87	32.26	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-116.05	34.13	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-110.85	31.5	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-110.88	29.18	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-111.62	33.47	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-109.15	31.91	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-107.21	33.23	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-109.12	31.9	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-109.11	31.9	"unknown"	0	0	"none"
