"name"	"longitude"	"latitude"	"subspecies"	"celsum"	"numSubsppGroups"	"assigned"
"Toxostoma curvirostre (Swainson, 1827)"	-111.17201	32.266407	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-100.752001	24.893281	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-98.976212	19.311202	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-100.857765	25.443951	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-100.719262	24.959649	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-111.876295	33.80231	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-100.635277	20.07093	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-110.987458	32.451533	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-99.071437	28.944858	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-105.433343	28.293093	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-105.435092	28.290294	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-105.43464	28.290897	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-112.072162	33.419519	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-99.662184	21.080507	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-101.676546	24.705236	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-99.179176	18.846585	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-98.375293	26.217301	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-103.313524	20.725324	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-103.313389	20.724869	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-103.312758	20.722911	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-111.770414	33.473439	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-102.903839	21.184648	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-102.902852	21.184848	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-102.463108	20.792391	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-102.451792	20.802456	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-111.469983	33.409404	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-111.945987	33.461687	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-111.945205	33.460062	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-111.9461	33.461092	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-99.163605	19.651439	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-97.939757	26.130064	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-103.490915	20.546838	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-98.366493	26.179835	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-103.396605	20.709071	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-98.986796	19.69763	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-100.6433	25.006397	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-100.014614	19.251901	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-99.045248	19.464566	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-99.045835	19.464142	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-100.021846	19.258284	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-99.045723	19.464323	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-99.045427	19.464357	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-99.045768	19.464371	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-99.045761	19.464317	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-99.194995	19.418352	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-99.045759	19.464243	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-99.045552	19.464694	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-99.045468	19.464296	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-99.045651	19.464334	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-106.480758	35.13694	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-100.986261	25.337431	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-99.091202	19.344051	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-111.281537	31.580833	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-111.388344	33.343297	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-103.628146	20.716133	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-111.173186	33.267308	"unknown"	0	0	"none"
"Toxostoma curvirostre (Swainson, 1827)"	-103.407742	20.720578	"unknown"	0	0	"none"
