"name"	"longitude"	"latitude"	"subspecies"	"amaka"	"numSubsppGroups"	"assigned"
"Melospiza melodia (A.Wilson, 1810)"	-122.234613	47.176578	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-122.949391	49.264589	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-117.270657	32.84956	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-122.058868	36.974635	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-122.186296	47.836138	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-122.330647	47.789645	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-122.330729	47.789693	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-122.327821	47.787055	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-89.810177	33.852706	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-81.278869	31.642461	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-63.620605	44.659854	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-63.6238	44.659561	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-72.989304	41.450154	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-121.28597	38.845704	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-122.920294	49.247381	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-87.934331	30.668324	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-75.555588	39.778483	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-122.917356	49.247996	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-111.943656	40.930112	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-86.933822	40.451556	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-79.839125	36.09077	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-122.83117	45.384607	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-118.287957	34.156143	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-77.358356	38.940107	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-121.994585	36.965248	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-122.307738	47.671753	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-122.108131	37.459998	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-122.112445	37.460318	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-122.114111	37.461928	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-122.114207	37.462184	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-122.297596	37.546564	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-122.311406	37.889855	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-96.997281	32.613695	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-122.310945	37.869918	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-117.227686	33.104794	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-105.199948	40.062198	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-97.280416	32.884777	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-123.203367	49.275021	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-122.453632	37.799418	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-63.55392	44.683353	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-96.730242	32.82193	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-63.563024	44.674473	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-96.730958	32.825513	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-96.731445	32.831645	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-63.306825	44.643293	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-63.276536	44.638009	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-76.732209	39.884166	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-95.328762	32.253619	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-117.106981	32.588114	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-117.106229	32.588144	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-95.898722	32.862977	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-77.840213	34.254264	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-117.277377	32.847583	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-117.270241	32.849289	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-117.273455	32.850885	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-117.273475	32.850862	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-105.198007	40.041298	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-81.542837	40.930248	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-81.627769	40.932898	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-122.38069	47.698518	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-118.478528	34.150267	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-78.356172	37.320736	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-78.360375	37.32265	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-70.692776	43.067132	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-81.51866	41.014222	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-116.940211	32.538267	"unknown"	0	0	"none"
