"name"	"longitude"	"latitude"	"subspecies"	"bangsi"	"deserticola"	"numSubsppGroups"	"assigned"
"Amphispiza bilineata bangsi"	-112.22	24.91	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi"	-111.77	24.45	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi"	-110.31	24.14	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi"	-110.38	34.11	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi"	-112.59	27.41	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi"	-111.85	24.46	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi"	-110.33	24.42	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi"	-110.25	24.15	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi"	-112.88	28.38	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi"	-112.12	25.36	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi"	-113.05	28.87	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi"	-110.8	25.63	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi"	-111.83	24.5	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi"	-110.42	24.47	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi"	-110.63	24.83	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi"	-111.12	26	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi"	-112.13	24.73	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi"	-113.15	26.88	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi"	-112.51	27.41	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi"	-109.86	24.24	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi"	-112.25	27.22	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi"	-112.3	27.37	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi"	-110.25	23.95	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi"	-110.34	24.32	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi"	-111.81	24.46	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi"	-110.35	24.5	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi"	-110.34	24.11	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi"	-110.43	24.04	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi"	-112.47	27.38	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi"	-111.84	24.66	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi"	-109.8	22.96	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi"	-116.26	31.14	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi"	-110.28	24.07	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi"	-111.25	25.78	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bangsi"	-110.58	25	"bangsi"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-116.68	33.88	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-99.8	30.44	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-116.54	33.74	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-102.87	36.87	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-102.89	36.89	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-99.1	26.64	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-104.39	29.56	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-99.6	30.49	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-99.09	27.53	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-99.65	30.49	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-97.42	28.18	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-97.51	28.15	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-101.98	31.92	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-99.49	27.58	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-99.15	27.83	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-98.67	29.03	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-98.97	29	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-100.74	25.65	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-98.16	26.86	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-101.23	25.45	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-102.56	30.14	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-100.18	23.89	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-99.2	25.8	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-100.9	29.37	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-103.67	30.37	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-121.9	36.6	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-99.5	27.5	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-104.67	30.82	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-99.32	28.5	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-97.45	25.99	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-104.79	31.9	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-99.67	30.35	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-97.5	25.9	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-103.25	30.2	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-98.23	26.4	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-98.08	29.07	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-97.48	26.07	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-98.45	28.93	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-98.62	29.09	"bilineata"	0	1	1	"deserticola"
"Amphispiza bilineata bilineata"	-97.48	26.19	"bilineata"	0	1	1	"deserticola"
