"name"	"longitude"	"latitude"	"subspecies"	"bangsi"	"numSubsppGroups"	"assigned"
"Amphispiza bilineata (Cassin, 1850)"	-116.143741	34.027028	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.37517	33.006881	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.37413	33.256653	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-98.514835	28.130186	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-112.048136	33.774864	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-112.048197	33.774778	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.389758	34.073333	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.472788	33.459875	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.307534	34.099528	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.932348	31.823414	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-116.403938	33.668478	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.809691	32.320043	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.731744	32.28192	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.717403	32.174187	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-110.716982	32.15722	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.461295	33.494013	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.345468	33.540897	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.34546	33.540867	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-112.561867	33.484933	"unknown"	0	0	"none"
"Amphispiza bilineata (Cassin, 1850)"	-111.711083	33.609353	"unknown"	0	0	"none"
