"name"	"longitude"	"latitude"	"subspecies"	"leucophrys"	"gambelii"	"numSubsppGroups"	"assigned"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122	37.3	"unknown"	0	1	1	"gambelii"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.43	37.81	"unknown"	0	1	1	"gambelii"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-119.7	36.69	"unknown"	0	1	1	"gambelii"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-120.09	37.4	"unknown"	0	1	1	"gambelii"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.11	32.59	"unknown"	0	1	1	"gambelii"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-120.83	36.58	"unknown"	0	1	1	"gambelii"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-115.9	33.87	"unknown"	0	1	1	"gambelii"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-123.81	39.46	"unknown"	0	1	1	"gambelii"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-116.06	34	"unknown"	0	1	1	"gambelii"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.7	34.16	"unknown"	0	1	1	"gambelii"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.05	32.74	"unknown"	0	1	1	"gambelii"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.52	34.03	"unknown"	0	1	1	"gambelii"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.08	37.55	"unknown"	0	1	1	"gambelii"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.29	34.15	"unknown"	0	1	1	"gambelii"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.28	34.15	"unknown"	0	1	1	"gambelii"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-114.76	32.5	"unknown"	0	1	1	"gambelii"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.72	38.39	"unknown"	0	1	1	"gambelii"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.3	38.01	"unknown"	0	1	1	"gambelii"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-123.02	38.31	"unknown"	0	1	1	"gambelii"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.32	34.38	"unknown"	0	1	1	"gambelii"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-121.06	38.67	"unknown"	0	1	1	"gambelii"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-115.36	36.44	"unknown"	0	1	1	"gambelii"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.23	34.07	"unknown"	0	1	1	"gambelii"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.39	33.8	"unknown"	0	1	1	"gambelii"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.24	32.76	"unknown"	0	1	1	"gambelii"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-121.94	36.62	"unknown"	0	1	1	"gambelii"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.35	34.54	"unknown"	0	1	1	"gambelii"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.75	33.8	"unknown"	0	1	1	"gambelii"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.07	37.44	"unknown"	0	1	1	"gambelii"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.81	34.23	"unknown"	0	1	1	"gambelii"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-119.42	35.05	"unknown"	0	1	1	"gambelii"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-121.22	38.63	"unknown"	0	1	1	"gambelii"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-121.05	38.91	"unknown"	0	1	1	"gambelii"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.54	34.41	"unknown"	0	1	1	"gambelii"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.49	37.5	"unknown"	0	1	1	"gambelii"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-121.82	38.02	"unknown"	0	1	1	"gambelii"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.25	32.89	"unknown"	0	1	1	"gambelii"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-116.92	32.77	"unknown"	0	1	1	"gambelii"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.02	37.42	"unknown"	0	1	1	"gambelii"
