"name"	"longitude"	"latitude"	"subspecies"	"leucophrys"	"nuttalli"	"numSubsppGroups"	"assigned"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-111.03	31.77	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-111.03	31.81	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-135.35	57.05	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-123.35	48.47	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-97.6	30.52	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-115.71	33.07	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-123.24	44.96	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-97.5	30.21	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-124.06	46.33	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-116.28	33.61	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-96.89	33.08	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-111.92	40.66	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-110.94	32.28	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-75.14	40.34	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-105.42	28.32	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-96.91	33.79	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.22	34.57	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.38	47.7	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-78.72	35.81	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.67	45.51	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-97.76	30.67	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-106.88	33.8	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-105.93	28.84	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.5	45.53	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-101.83	33.59	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.36	34.54	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-79.08	43.24	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-79.08	43.27	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-99.65	32.61	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.79	48.98	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-116.4	43.28	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-116.39	43.25	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-123.28	44.56	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-123.3	44.55	"unknown"	0	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-106.45	31.95	"unknown"	0	0	0	"none"
