"Longitude" "Latitude" "wc2.1_10m_bio_1" "wc2.1_10m_bio_2" "wc2.1_10m_bio_3" "wc2.1_10m_bio_4" "wc2.1_10m_bio_5" "wc2.1_10m_bio_6" "wc2.1_10m_bio_7" "wc2.1_10m_bio_8" "wc2.1_10m_bio_9" "wc2.1_10m_bio_10" "wc2.1_10m_bio_11" "wc2.1_10m_bio_12" "wc2.1_10m_bio_13" "wc2.1_10m_bio_14" "wc2.1_10m_bio_15" "wc2.1_10m_bio_16" "wc2.1_10m_bio_17" "wc2.1_10m_bio_18" "wc2.1_10m_bio_19" "occ"
"2:21" -89.6 21.15 25.9726982116699 12.4282293319702 66.3777084350586 196.960464477539 35.2982482910156 16.5747509002686 18.7234973907471 27.2870826721191 25.5205841064453 27.9904174804688 23.2447090148926 879 154 22 65.4856414794922 401 71 306 104 1
"2:22" -90.42 14.66 17.6286468505859 10.045708656311 73.1288375854492 90.9539108276367 24.6529998779297 10.9160003662109 13.7369995117188 18.1153335571289 17.0464992523193 18.6174583435059 16.4040012359619 1356 284 6 94.9006195068359 706 21 458 52 1
"2:23" -99.51 18.95 17.0866451263428 14.1909589767456 68.5785446166992 155.399505615234 27.4292507171631 6.73624992370605 20.693000793457 17.8742923736572 15.0813331604004 18.9835834503174 15.0813331604004 1119 221 6 103.020767211914 662 29 329 29 1
"2:24" -100.5 19.48 18.1590728759766 15.5194787979126 67.5913467407227 176.072525024414 29.642749786377 6.68200016021729 22.960750579834 19.1830406188965 18.1518745422363 20.3891258239746 15.865291595459 913 191 8 97.9507598876953 540 37 228 57 1
"2:25" -92.54 16.56 19.1507091522217 13.2583332061768 68.5521774291992 153.32292175293 28.503999710083 9.16349983215332 19.3404998779297 19.9849586486816 17.8284168243408 20.8418750762939 17.0671672821045 1219 247 10 90.164924621582 610 37 399 37 1
"2:26" -100.14 19.12 15.919750213623 14.1962909698486 69.9238586425781 143.89192199707 25.9524993896484 5.65000009536743 20.3024997711182 16.7407073974609 15.9000415802002 17.6159992218018 13.9801244735718 1133 216 10 94.6660003662109 635 40 307 44 1
"2:27" -96.54 17.26 15.2124481201172 11.4607706069946 66.1211090087891 156.145538330078 24.1437492370605 6.81075000762939 17.3330001831055 15.7719163894653 14.5317497253418 17.1936664581299 13.2202911376953 959 177 13 82.8279876708984 486 40 280 80 1
"2:28" -103.69 19.48 22.5557193756104 15.4689788818359 69.0564041137695 179.664031982422 33.1037483215332 10.7032499313354 22.4004974365234 23.9453754425049 21.4207077026367 24.4119987487793 20.1043739318848 912 203 2 108.4169921875 594 11 362 51 1
"2:29" -97.37 19.61 13.1911249160767 15.7623748779297 70.2266616821289 178.857986450195 23.6347503662109 1.18974995613098 22.4449996948242 14.2932910919189 10.7202081680298 15.0717916488647 10.7202081680298 629 113 10 74.7444152832031 293 35 204 35 1
"2:30" -89.64 14.97 25.7573127746582 10.638500213623 70.8807983398438 119.619445800781 33.6455001831055 18.6364994049072 15.0090007781982 26.2939586639404 25.1758327484131 27.1573753356934 24.1965408325195 975 204 5 96.7298431396484 527 19 119 39 1
