"name"	"longitude"	"latitude"	"subspecies"	"acaciarum"	"flaviceps"	"numSubsppGroups"	"assigned"
"Auriparus flaviceps"	-108.94	27.02	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-105.39	28.32	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-105.5	28.25	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-105.43	28.44	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-103.75	25.43	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-105.43	28.31	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-111.35	25.99	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-104.63	24.05	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-103.73	25.3	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-104.32	32.32	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-103.71	25.47	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-109.94	27.56	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-103.68	25.47	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-103.79	25.26	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-104.65	24.03	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-103.74	25.27	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-103.75	25.27	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-103.69	25.59	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-111.43	25.33	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-105.3	28.25	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-112.25	27.06	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-111.84	26.64	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-104.33	32.32	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-105.45	28.28	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-104.51	23.97	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-111.34	26	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-105.48	28.23	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-104.6	24.06	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-104.65	24.01	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-101.94	35.23	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-105.45	28.27	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-109.97	27.5	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-104.32	33.12	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-105.5	28.29	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-103.75	26.69	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-103.75	26.66	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-103.74	26.68	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-106.08	27.8	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-111.28	26.11	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-103.74	25.31	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-103.75	25.32	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-103.7	25.07	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-105.99	28.7	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-102.59	21.48	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-103.75	24.95	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-103.9	24.7	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-104.66	24.08	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-103.74	25.44	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-105.5	28.27	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-102.7	21.17	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-105.51	28.3	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-103.77	25.28	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-104.09	24.73	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-109.94	27.5	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-109.87	27.51	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-105.62	28.16	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-103.92	29.08	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-111.37	26.01	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-103.74	25.28	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-105.93	28.84	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-105.44	28.39	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-105.42	28.41	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-111.98	26.89	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-112.27	27.34	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-105	25.59	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-105.01	25.61	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-104.9	25.48	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-106.14	28.61	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-111.95	27.07	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-109.92	27.45	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-109.94	27.38	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-109.95	27.5	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-105.01	25.57	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-103.75	25.36	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-105.49	28.2	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-103.71	25.69	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-104.04	24.79	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-103.8	28.94	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-105.42	28.33	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-106.13	28.61	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-103.75	25.42	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-103.75	25.45	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-111.25	25.79	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-111.26	25.81	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-103.72	25.47	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-105.63	28.16	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-102.75	21.06	"unknown"	0	0	0	"none"
"Auriparus flaviceps"	-103.74	25.45	"unknown"	0	0	0	"none"
