"name"	"longitude"	"latitude"	"subspecies"	"acaciarum"	"flaviceps"	"hidalgensis"	"lamprocephalus"	"ornatus"	"numSubsppGroups"	"assigned"
"Auriparus flaviceps (Sundevall, 1850)"	-116.4	33.78	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.56	33.83	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.06	34.11	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.27	34.13	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.53	33.85	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.38	33.71	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.53	33.78	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.39	33.69	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.32	33.65	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.6	33.93	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.56	34.04	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.16	34.02	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-117.18	34.02	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.19	33.75	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.49	33.84	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-115.92	33.51	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.36	33.28	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-115.94	33.52	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.2	33.71	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.57	34.04	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.54	33.85	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.27	33.64	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.44	33.78	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.08	34.13	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.42	33.8	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.31	33.84	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.37	33.77	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.51	33.8	"unknown"	1	0	0	0	0	1	"acaciarum"
"Auriparus flaviceps (Sundevall, 1850)"	-116.56	33.81	"unknown"	1	0	0	0	0	1	"acaciarum"
