"name"	"longitude"	"latitude"	"subspecies"	"curtata"	"melanura"	"lucida"	"numSubsppGroups"	"assigned"
"Polioptila melanura"	-103.14	29.27	"unknown"	0	1	0	1	"melanura"
"Polioptila melanura"	-103.64	27.28	"unknown"	0	1	0	1	"melanura"
"Polioptila melanura"	-101.82	30.47	"unknown"	0	1	0	1	"melanura"
"Polioptila melanura"	-102.96	29.19	"unknown"	0	1	0	1	"melanura"
"Polioptila melanura"	-105.2	27.75	"unknown"	0	1	0	1	"melanura"
"Polioptila melanura"	-104.02	30.07	"unknown"	0	1	0	1	"melanura"
"Polioptila melanura"	-103.52	29.14	"unknown"	0	1	0	1	"melanura"
"Polioptila melanura"	-105.41	28.09	"unknown"	0	1	0	1	"melanura"
"Polioptila melanura"	-105.57	28.28	"unknown"	0	1	0	1	"melanura"
"Polioptila melanura"	-103.28	29.27	"unknown"	0	1	0	1	"melanura"
"Polioptila melanura"	-102.94	29.57	"unknown"	0	1	0	1	"melanura"
"Polioptila melanura"	-105.34	28.26	"unknown"	0	1	0	1	"melanura"
"Polioptila melanura"	-104.03	29.33	"unknown"	0	1	0	1	"melanura"
"Polioptila melanura"	-105.43	28.29	"unknown"	0	1	0	1	"melanura"
"Polioptila melanura"	-105.69	28.43	"unknown"	0	1	0	1	"melanura"
"Polioptila melanura"	-105.5	28.24	"unknown"	0	1	0	1	"melanura"
"Polioptila melanura"	-105.43	28.32	"unknown"	0	1	0	1	"melanura"
"Polioptila melanura"	-105.47	28.26	"unknown"	0	1	0	1	"melanura"
"Polioptila melanura"	-104.33	29.54	"unknown"	0	1	0	1	"melanura"
"Polioptila melanura"	-102.92	29.2	"unknown"	0	1	0	1	"melanura"
"Polioptila melanura"	-105.62	28.16	"unknown"	0	1	0	1	"melanura"
"Polioptila melanura"	-105.43	28.31	"unknown"	0	1	0	1	"melanura"
"Polioptila melanura"	-103.42	29.16	"unknown"	0	1	0	1	"melanura"
"Polioptila melanura"	-105.57	28.27	"unknown"	0	1	0	1	"melanura"
"Polioptila melanura"	-102.41	27.34	"unknown"	0	1	0	1	"melanura"
"Polioptila melanura"	-103.25	29.25	"unknown"	0	1	0	1	"melanura"
"Polioptila melanura"	-102.96	29.18	"unknown"	0	1	0	1	"melanura"
"Polioptila melanura"	-102.92	29.19	"unknown"	0	1	0	1	"melanura"
"Polioptila melanura"	-103.75	26.69	"unknown"	0	1	0	1	"melanura"
"Polioptila melanura"	-103.77	28.04	"unknown"	0	1	0	1	"melanura"
"Polioptila melanura"	-103.37	29.26	"unknown"	0	1	0	1	"melanura"
"Polioptila melanura"	-103.73	26.69	"unknown"	0	1	0	1	"melanura"
"Polioptila melanura"	-103.74	26.69	"unknown"	0	1	0	1	"melanura"
"Polioptila melanura"	-105.44	28.29	"unknown"	0	1	0	1	"melanura"
"Polioptila melanura"	-105.71	28.42	"unknown"	0	1	0	1	"melanura"
"Polioptila melanura"	-103.36	29.21	"unknown"	0	1	0	1	"melanura"
