"name"	"longitude"	"latitude"	"subspecies"	"leucophrys"	"numSubsppGroups"	"assigned"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.330655	47.789643	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.330647	47.789645	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.330729	47.789693	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.332052	47.787804	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-105.480587	28.260614	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-105.480741	28.260515	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-116.420934	33.27101	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-88.923756	35.623658	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-115.914581	33.503627	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-121.279268	38.848527	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-121.283006	38.844007	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-120.969532	35.242152	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.651665	38.533418	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.602111	38.597546	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.023773	32.932791	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.023253	32.932908	"unknown"	0	0	"none"
"Zonotrichia leucophrys gambelii (Nuttall, 1840)"	-111.985919	33.36289	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.028682	32.930856	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-117.020371	32.934154	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.428078	37.792195	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.427132	37.791927	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-116.999477	43.821853	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-118.058819	33.709578	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.33921	37.909523	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-116.567883	34.050535	"unknown"	0	0	"none"
"Zonotrichia leucophrys gambelii (Nuttall, 1840)"	-117.326724	33.933573	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.112515	37.460383	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.112918	37.460539	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.113963	37.461592	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.115025	37.46271	"unknown"	0	0	"none"
"Zonotrichia leucophrys (J.R.Forster, 1772)"	-122.115109	37.462771	"unknown"	0	0	"none"
